issue,draw_date,week,numbers,numbers_sorted,numbers_sequence,sale_money,prize_pool_money,fix_pool_money,source
2021010,2021-01-10,星期日,02 05 09 14 16 22 24 26 32 35 36 37 40 41 44 49 65 70 71 74,02 05 09 14 16 22 24 26 32 35 36 37 40 41 44 49 65 70 71 74,05 41 65 49 02 22 74 36 71 44 16 24 70 14 26 32 09 37 35 40,26873606,20122634.35,,zhcw_jsonp
2021011,2021-01-11,星期一,01 10 11 24 26 27 32 38 49 59 60 63 66 68 69 71 72 73 76 77,01 10 11 24 26 27 32 38 49 59 60 63 66 68 69 71 72 73 76 77,71 26 68 69 24 49 77 73 76 10 59 27 60 66 72 32 63 01 11 38,26521230,22087397.2,,zhcw_jsonp
2021012,2021-01-12,星期二,02 04 06 10 16 17 19 24 27 30 34 38 40 44 48 49 56 60 63 66,02 04 06 10 16 17 19 24 27 30 34 38 40 44 48 49 56 60 63 66,10 49 56 66 19 38 02 34 24 48 60 27 30 17 16 40 44 06 04 63,27061170,19026068.65,,zhcw_jsonp
2021013,2021-01-13,星期三,05 13 15 16 19 22 27 28 36 41 43 48 50 56 60 65 67 72 77 80,05 13 15 16 19 22 27 28 36 41 43 48 50 56 60 65 67 72 77 80,15 05 60 13 80 48 65 67 50 16 19 28 56 77 43 22 27 36 41 72,26719730,20599166.9,,zhcw_jsonp
2021014,2021-01-14,星期四,07 11 19 34 36 37 38 39 42 47 57 60 62 69 72 73 75 76 77 78,07 11 19 34 36 37 38 39 42 47 57 60 62 69 72 73 75 76 77 78,72 60 47 57 11 42 73 19 77 07 39 76 62 36 38 78 69 75 34 37,27737202,11665459.15,,zhcw_jsonp
2021015,2021-01-15,星期五,02 04 10 16 18 27 37 38 39 40 43 46 47 49 50 56 60 62 71 75,02 04 10 16 18 27 37 38 39 40 43 46 47 49 50 56 60 62 71 75,56 27 16 02 71 46 60 49 39 75 62 37 04 10 47 18 40 43 50 38,29670590,13651748.2,,zhcw_jsonp
2021016,2021-01-16,星期六,04 05 07 09 10 11 13 17 25 30 32 54 55 57 60 64 70 72 74 76,04 05 07 09 10 11 13 17 25 30 32 54 55 57 60 64 70 72 74 76,32 60 70 09 72 05 10 25 13 17 74 07 04 54 30 11 64 55 57 76,28325410,15477138.8,,zhcw_jsonp
2021017,2021-01-17,星期日,07 10 12 15 20 34 37 43 45 48 51 54 57 58 59 61 62 73 76 80,07 10 12 15 20 34 37 43 45 48 51 54 57 58 59 61 62 73 76 80,20 37 07 34 58 51 43 80 59 54 45 15 76 62 10 73 12 61 48 57,28082544,17716341.3,,zhcw_jsonp
2021018,2021-01-18,星期一,03 18 20 22 25 30 37 40 43 45 50 51 61 65 67 72 74 75 76 78,03 18 20 22 25 30 37 40 43 45 50 51 61 65 67 72 74 75 76 78,78 25 30 18 65 22 61 72 03 75 40 51 43 50 20 37 45 74 67 76,30298910,20032260.4,,zhcw_jsonp
2021019,2021-01-19,星期二,02 04 05 12 17 19 24 31 35 36 38 41 42 44 53 56 60 70 76 80,02 04 05 12 17 19 24 31 35 36 38 41 42 44 53 56 60 70 76 80,70 31 41 56 35 36 17 02 44 19 05 76 60 42 24 80 38 04 53 12,29784294,22203427.3,,zhcw_jsonp
